PoNumber,Item No,Quantity,Vendor Challan No,Challan Date,Assesable Value,BED Value,SED Value,AED Value,ECS value,S&H E cess Value,S&H E cess Rate %,ECS Rate %,BED %,AED %,SED %,Sales Tax,Invoice amount,VAT amount,Currency,Form 31-Series No,Form 31 No,Invoice Number,Invoice Date,Vehicle Number,Packages,PackUnit,
2530005878,10,2700,P00095,05.04.2017,10260,1282,0,0,0,0,0,0,12.5,0,0,0,13100.17,1558.17,INR,,,,,,,,
2540136040,10,5270,P00096,05.04.2017,31830.8,3979,0,0,0,0,0,0,12.5,0,0,0,40644.12,4834.32,INR,,,,,,,,
2510172338,10,200,P00097,05.04.2017,606,76,0,0,0,0,0,0,12.5,0,0,0,774.07,92.07,INR,,,,,,,,
2540136731,10,63,P00098,05.04.2017,4364.64,546,0,0,0,0,0,0,12.5,0,0,0,5573.58,662.94,INR,,,,,,,,
2540131771,10,914,P00099,05.04.2017,63321.92,7915,0,0,0,0,0,0,12.5,0,0,0,80853.9,9616.98,INR,,,,,,,,
2510172346,10,900,P00100,05.04.2017,6894,862,0,0,0,0,0,0,12.5,0,0,0,8803.06,1047.06,INR,,,,,,,,
2540131772,10,99,P00101,05.04.2017,6858.72,857,0,0,0,0,0,0,12.5,0,0,0,8757.34,1041.62,INR,,,,,,,,
2540131772,10,246,P00102,05.04.2017,17042.88,2130,0,0,0,0,0,0,12.5,0,0,0,21761.22,2588.34,INR,,,,,,,,
2510172348,10,1445,P00103,05.04.2017,13973.15,1747,0,0,0,0,0,0,12.5,0,0,0,17842.37,2122.22,INR,,,,,,,,
2510172335,10,920,P00104,05.04.2017,4176.8,522,0,0,0,0,0,0,12.5,0,0,0,5333.14,634.34,INR,,,,,,,,
2540131770,10,270,P00105,05.04.2017,8351.1,1044,0,0,0,0,0,0,12.5,0,0,0,10663.44,1268.34,INR,,,,,,,,
2510172674,10,85,P00106,05.04.2017,8458.35,1057,0,0,0,0,0,0,12.5,0,0,0,10799.92,1284.57,INR,,,,,,,,
2510172675,10,18,P00107,05.04.2017,2096.28,262,0,0,0,0,0,0,12.5,0,0,0,2676.65,318.37,INR,,,,,,,,
2510172347,10,130,P00108,05.04.2017,835.9,104,0,0,0,0,0,0,12.5,0,0,0,1066.79,126.89,INR,,,,,,,,
2540131774,10,5737,P00109,05.04.2017,106306.61,13288,0,0,0,0,0,0,12.5,0,0,0,135739.88,16145.27,INR,,,,,,,,
2540136716,10,336,P00110,05.04.2017,29823.36,3728,0,0,0,0,0,0,12.5,0,0,0,38080.79,4529.43,INR,,,,,,,,
2510172350,10,48,P00111,05.04.2017,4260.48,533,0,0,0,0,0,0,12.5,0,0,0,5440.6,647.12,INR,,,,,,,,
2510172351,10,3502,P00112,05.04.2017,139974.94,17497,0,0,0,0,0,0,12.5,0,0,0,178730.65,21258.71,INR,,,,,,,,
2510172330,10,20,P00113,05.04.2017,7599.8,950,0,0,0,0,0,0,12.5,0,0,0,9704.02,1154.22,INR,,,,,MH14CP 2472,,,
2540131755,10,50,P00128,05.04.2017,112775,14097,0,0,0,0,0,0,12.5,0,0,0,143999.72,17127.72,INR,,,,,MH14 CP2472,,,
2540131755,10,25,P00129,05.04.2017,56387.5,7048,0,0,0,0,0,0,12.5,0,0,0,71999.29,8563.79,INR,,,,,MH14 CP2472,,,
2540131755,10,25,P00130,05.04.2017,56387.5,7048,0,0,0,0,0,0,12.5,0,0,0,71999.29,8563.79,INR,,,,,MH14 CP2472,,,
